,상점이름,상점종류,담당,사장님 추천 메뉴 & 시그니처 메뉴,평균 가격대,영업시간 및 정기 휴무일,테이블 수 및 좌석 형태,아기의자 유무,주차장 유무 및 인근 주차 팁,상점의 역사,사장님이 추천하는 '우리 가게 100% 즐기는 팁',사장님 가게만이 가진 자랑거리나 매력,id,type,emoji,accent,tagline,story,sunday,sunday_note,address,phone,signature,price,hours,seats,baby_chair,parking,history,tip,charm,naver_url,main_image,gallery,placeholder
1,맛대로촌닭,치킨집,,"어머나촌닭떡볶이, 평양칠향계","12,000~25,000","12시~24시, 연중무휴","4인 8개, 단체석 가능",있음,"가게 앞 2대, 아름드리 주차장",32년,평양칠향계 찜닭을 먹고 볶음밥을 꼭 볶아먹어야 진정한 맛을 알 수 있습니다.,"찜닭과 치킨을 같이 먹을 수 있다는 장점, 북한에 대한 사장님의 마음을 느낄 수 있는 지역사회를 섬기는 멋진 곳",s01,,🍗,#c0392b,"찜닭 한 솥에 담긴, 남북 평화를 향한 소망과 철학","16년을 한자리에서 지켜온 맛대로촌닭은 그저 닭요리집이 아닙니다. 사장님은 닭을 통해 남과 북이 함께하는 날을 소망해 왔고, 그 삶의 이야기와 손맛을 찜닭 한 그릇에 담아 전합니다. 찜닭을 다 먹은 자리에서 밥을 볶아 한 끼를 완성하는 정성은, 이 집이 전하고 싶은 환대의 방식입니다. 넉넉한 한 상과 따뜻한 이웃의 마음을 느껴보세요.",open,연중무휴 · 주일에도 따뜻하게 문을 엽니다.,서울 강서구 방화동 일대,,,,,,,,,,,,assets/s01/00.png,"[""assets/s01/00.png"", ""assets/s01/01.jpg"", ""assets/s01/02.jpg"", ""assets/s01/03.jpg"", ""assets/s01/05.jpg"", ""assets/s01/06.jpg"", ""assets/s01/07.jpg"", ""assets/s01/08.jpg"", ""assets/s01/09.jpg"", ""assets/s01/메뉴.jpg""]",FALSE
2,양천칼국수,한식,,"칼국수, 만두전골, 해물야채전","9,000~15,000","첫째, 셋째 일요일 휴무",4인 10개,없음,가게 앞 최대 6대,16년,"에피타이저로 나오는 보리밥에 열무와 고추장을 넣고, 참기름을 넣어서 비벼먹는다.","좋은 재료를 듬뿍 사용하고, 가격을 최대한 낮추려고 하고 있다. 밀가루도 최고 좋은 것을 사용하고, 생면을 사용한다. ",,,,,,,,,,,,,,,,,,,,,,,
3,마곡오리,한식,,"오리 주물럭, 오리 로스, 오리 불고기","40,000~75,000",11시 30분~21시 30분,"4인 22개, 단체석 가능",없음,가게 옆 주차장,"40년, 현재 자리에서 15년째","국내산 고춧가루(진도, 함양에 지인에게 구매)로 매운맛을 낸 주물럭, 아이들도 먹을 수 있는 간장맛 오리불고기, 오리로만 승부를 보는 로스 알아서 고르시라","무조건 국내산 생고기 고집, 그래서 365일 연중무휴 why? 고기가 냉동이 아니라서 쉴 수 없다! 재고소진 원칙! / 엔지니어 출신 사장님이 받으신 특허가 자그마치 3개! ",s02,,🦆,#a04000,냉동은 없다 — 오직 생고기로만 내는 정직한 승부,"40년 오리 외길, 지금 자리에서만 15년. 마곡오리의 원칙은 단 하나, '무조건 국내산 생고기'입니다. 고기가 냉동이 아니라 쉴 수가 없어서 365일 문을 연다는 말 속에, 음식에 대한 고집과 자부심이 그대로 묻어납니다. 진도·함양 지인에게서 직접 받은 국내산 고춧가루로 매운맛을 낸 주물럭, 아이도 함께 즐기는 간장맛 불고기, 오리 그 자체로 승부하는 로스까지. 엔지니어 출신 사장님이 받은 특허만 세 개, 그 손끝의 정성이 한 점 한 점에 배어 있습니다.",open,365일 연중무휴 · 주일에도 변함없이 문을 엽니다.,서울 강서구,,,,,,,,,,,,assets/s02/00.jpg,"[""assets/s02/00.jpg"", ""assets/s02/01.jpg"", ""assets/s02/02.jpg"", ""assets/s02/04.jpg"", ""assets/s02/05.jpg"", ""assets/s02/06.jpg"", ""assets/s02/07.jpg"", ""assets/s02/메뉴.jpg""]",FALSE
4,마곡면옥,한식,,"냉면, 칼국수","8,000~10,000",10시 30분~21시,4인 5개,있음 (1개),신안빌라 주차 가능,1년,냉면과+ 만두 또는 만두전 또는 해물전 함께 드셔보시길,면 직접 반죽,s03,,🍜,#2980b9,직접 반죽한 면 한 그릇의 단정한 위로,"문을 연 지 이제 1년, 그러나 면을 대하는 태도만큼은 오래된 노포의 그것입니다. 마곡면옥은 면을 매일 직접 반죽합니다. 손이 많이 가는 그 과정을 마다하지 않는 이유는, 한 젓가락에 담기는 식감과 정직함을 믿기 때문입니다. 시원한 냉면에 만두나 만두전, 해물전을 곁들이면 비로소 한 상이 완성됩니다. 화려하지 않지만 단정하게 차려낸 면 한 그릇이, 분주한 하루에 조용한 위로를 건넵니다.",check,정기 휴무가 따로 안내되지 않았습니다. 주일 방문 전 한 번 확인해 주세요.,서울 강서구 (신안빌라 인근),,,,,,,,,,,,assets/s03/00.jpg,"[""assets/s03/00.jpg"", ""assets/s03/02.jpg"", ""assets/s03/03.jpg"", ""assets/s03/메뉴.jpg""]",FALSE
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,집애김밥,한식,,"야채김밥, 묵은지 김밥","4,000~6,000",08시 30분~19시 30분,"배달, 픽업만 가능",없음,없음,4년,"떡뽂이랑 같이 드시면 좋아요,",사장님 재료 많이 신경써서 신선하다,s05,,🍙,#27ae60,"새벽에 손질한 신선함을, 정직하게 말아 드립니다","집애김밥의 자랑은 화려한 비법이 아니라 '신선한 재료'입니다. 사장님이 재료 하나하나에 정성을 들여, 김밥 한 줄에도 손맛과 마음이 또렷이 배어 있습니다. 야채김밥과 묵은지김밥이 특히 사랑받는 메뉴. 떡볶이와 함께라면 더없이 든든한 한 끼가 됩니다. 배달과 픽업으로 만나는, 동네의 정직한 한 줄입니다.",check,정기 휴무가 따로 안내되지 않았습니다. 배달·픽업 전문이니 주일 방문 전 확인해 주세요.,서울 강서구,,,,,,,,,,,,assets/s05/00.png,"[""assets/s05/00.png"", ""assets/s05/01.jpg"", ""assets/s05/02.jpg"", ""assets/s05/04.jpg"", ""assets/s05/05.jpg"", ""assets/s05/06.jpg"", ""assets/s05/메뉴.jpg""]",FALSE
7,옥담집,양식,,"오일 파스타, 파트타 종류는 골고루 좋아함","12,000",10시~15시,"4인 9개,",있음 (2개),가게 앞 알아서 주차,6개월,"점심 파스타 드시면 아메리카노 공짜 (주말포함),
네이버 리뷰하시면 샐러드 공짜",저렴하고 맛있고 다양한 공짜 서비스를 받을 수 있음,s06,,🍝,#16a085,점심 파스타에 커피까지 — 주말에도 이어지는 작은 호의,"문을 연 지 6개월, 옥담집은 '저렴하고 맛있고 다양한 호의'로 동네의 입맛을 사로잡았습니다. 오일 파스타를 비롯해 어떤 파스타를 골라도 실패가 없고, 점심에 파스타를 주문하면 아메리카노가 무료(주말 포함), 네이버 리뷰를 남기면 샐러드까지 곁들여집니다. 부담 없는 가격에 받는 따뜻한 환대가, 다시 찾고 싶은 이유를 만듭니다.",check,점심 파스타 서비스가 '주말 포함'으로 운영됩니다. 다만 영업일은 방문 전 확인을 권합니다.,서울 강서구,,,,,,,,,,,,assets/s06/00.jpg,"[""assets/s06/00.jpg"", ""assets/s06/01.jpg"", ""assets/s06/메뉴1.jpg"", ""assets/s06/02.jpg"", ""assets/s06/메뉴2.jpg"", ""assets/s06/06.jpg"", ""assets/s06/07.jpg""]",FALSE
8,인라이크,카페,,쑥라떼,"4,500~8,000","금,토 : 11시 30분~21시, 
그외 11시30분~20시30분","2인 3개, 4인 1개",없음,가개 앞 2대,6년 반,"케이크랑 드셔보길, 쌀로 만든 케이크",쌀로 만든 케이크라 소화 잘되고 건강식임,,,,,,,,,,,,,,,,,,,,,,,
9,왕소풍김밥,한식,,"소풍김밥, 매콤진미채 김밥, 참치김밥","4,000~5,500","08시~18시, 월요일 휴무","배달, 픽업만 가능",없음,없음,3년 차,떡뽂이와 함께 드세요~,"당일 재료 사용, 신선, 새벽에 만듦, 계란폭탄은 재료비 재료 수급으로 힘들어요 ㅡㅜ 다른 메뉴 이용해 주시면 더 감사",s08,,🍱,#e67e22,"새벽에 만든 당일 재료, 소풍 가듯 설레는 한 줄","이름처럼 소풍의 설렘을 담은 왕소풍김밥. 새벽에 그날의 재료로 직접 만들어 신선함이 살아 있습니다. 소풍김밥, 매콤진미채김밥, 참치김밥이 대표 메뉴이고, 떡볶이와 함께라면 더 든든합니다. 계란폭탄 메뉴는 재료 수급 사정으로 잠시 어렵다는 솔직한 안내까지 — 그 정직함이 오히려 더 믿음직스러운 동네 김밥집입니다.",open,월요일 휴무 · 주일에는 문을 엽니다.,서울 강서구,,,,,,,,,,,,assets/s08/00.jpg,"[""assets/s08/00.jpg"", ""assets/s08/01.jpg"", ""assets/s08/02.jpg"", ""assets/s08/04.jpg"", ""assets/s08/메뉴.jpg""]",FALSE
10,선식당,퓨전,,"스테이크 샐러드, 봉골레","10,000~14,000","11시~21시, 15시~16시30분 휴식","4인석 14개, 예약가능",있음,5대 주차가능,"6년 (5년 예전사장, 1년 현재사장",양이 많아 4명이서 메뉴를 각각 시켜 나눠 먹는 것,푸짐하고 맛있음,s09,,🥗,#d35400,"넷이 모여 나눠 먹는, 푸짐한 한 상의 즐거움","스테이크 샐러드와 봉골레로 사랑받는 선식당의 미덕은 '푸짐함'입니다. 넷이 모여 각자 다른 메뉴를 시켜 나눠 먹는 것이 이 집을 200% 즐기는 방법. 양이 넉넉해 함께일수록 즐거운, 정겨운 퓨전 식당입니다. 예약도 가능하니 일행이 많다면 미리 자리를 잡아 두면 좋습니다.",check,정기 휴무 안내가 없습니다. 브레이크타임(15:00~16:30)이 있으니 시간과 함께 확인해 주세요.,서울 강서구,,,,,,,,,,,,assets/s09/00.jpg,"[""assets/s09/00.jpg"", ""assets/s09/02.jpg"", ""assets/s09/03.jpg"", ""assets/s09/04.jpg"", ""assets/s09/05.jpg"", ""assets/s09/06.jpg"", ""assets/s09/메뉴.jpg""]",FALSE
